target,year,mes,dia,temperatura,humedad,viento_vel_m_s,viento_dir,presion,precipitacion,nubosidad,franja_horaria_Morning,franja_horaria_Noche,franja_horaria_Tarde
0,2025,4,3,25.0,57.39,8.19,140.0,1018.0,0.0,50.0,False,False,True
1,2025,4,21,18.0,100.0,2.11,140.0,1020.0,0.1,100.0,False,False,False
1,2025,5,19,26.0,61.39,4.11,220.0,1021.0,0.1,27.4,True,False,False
0,2025,4,14,23.0,43.73,7.19,50.0,1023.0,0.0,75.7,True,False,False
0,2025,4,27,26.0,41.73,6.19,50.0,1021.0,0.0,27.4,False,False,True
0,2025,5,17,23.0,73.46,5.11,220.0,1019.0,0.0,89.0,False,True,False
1,2025,5,18,22.0,83.11,5.11,140.0,1019.0,0.0,89.0,False,True,False
0,2025,4,19,21.0,77.91,4.11,180.0,1022.0,0.0,50.0,False,True,False
0,2025,5,10,19.0,88.19,4.11,30.0,1020.0,0.0,89.0,False,False,False
0,2025,4,26,27.0,39.34,6.19,360.0,1018.0,0.0,89.0,False,False,True
0,2025,5,2,24.0,69.16,6.19,160.0,1020.0,0.0,89.0,False,False,True
1,2025,5,10,19.0,93.93,4.11,10.0,1020.0,0.1,89.0,False,False,False
0,2025,5,12,29.1,39.4,3.61,39.8,1016.0,0.0,91.5,False,False,True
0,2025,4,18,18.0,72.58,5.11,30.0,1022.0,0.0,37.0,False,False,False
0,2025,4,21,19.0,88.19,3.11,180.0,1021.0,0.0,100.0,False,False,False
1,2025,4,20,21.0,77.91,7.19,140.0,1019.0,0.1,89.0,False,True,False
1,2025,5,9,21.0,82.99,3.11,180.0,1019.0,1.2,89.0,False,True,False
1,2025,4,21,27.0,47.82,2.11,110.0,1017.0,0.1,50.0,False,False,True
0,2025,4,23,25.0,57.39,3.11,300.0,1021.0,0.0,89.0,True,False,False
0,2025,4,28,16.0,82.39,5.11,20.0,1022.0,0.0,4.9,False,False,False
1,2025,4,7,21.0,82.99,3.11,150.0,1019.0,0.1,89.0,False,True,False
1,2025,5,6,26.0,57.63,6.19,180.0,1018.0,0.3,27.4,False,False,True
0,2025,4,20,19.0,77.62,4.11,40.0,1022.0,0.0,89.0,False,False,False
0,2025,5,1,17.0,82.51,0.0,0.0,1021.0,0.0,89.0,True,False,False
0,2025,4,11,20.0,64.07,7.19,30.0,1024.0,0.0,50.0,True,False,False
0,2025,4,8,20.0,82.87,4.11,30.0,1020.0,0.0,89.0,False,False,False
0,2025,5,3,27.0,47.82,7.19,180.0,1019.0,0.0,27.4,False,False,True
0,2025,4,3,23.0,60.7,7.19,180.0,1021.0,0.0,27.4,True,False,False
1,2025,4,22,19.0,82.75,5.11,360.0,1020.0,0.1,27.4,False,False,False
0,2025,4,30,22.0,73.29,5.11,180.0,1018.0,0.0,50.0,False,True,False
1,2025,5,11,24.0,57.15,11.31,360.0,1023.0,0.6,89.0,True,False,False
0,2025,4,20,18.0,88.1,4.11,20.0,1020.0,0.0,50.0,False,False,False
1,2025,4,1,22.0,78.06,5.11,200.0,1017.0,1.6,100.0,False,False,True
1,2025,5,14,21.0,88.35,5.11,140.0,1019.0,0.1,50.0,False,True,False
1,2025,5,12,21.0,68.58,6.19,20.0,1022.0,0.1,27.4,False,True,False
0,2025,5,1,27.0,50.99,7.19,180.0,1019.0,0.0,89.0,False,False,True
1,2025,5,20,21.0,88.35,5.11,160.0,1020.0,0.2,50.0,False,True,False
0,2025,4,19,21.0,64.29,4.11,20.0,1022.0,0.0,9.1,True,False,False
0,2025,4,26,24.0,50.2,6.19,30.0,1021.0,0.0,89.0,True,False,False
1,2025,4,21,18.0,100.0,2.11,140.0,1020.0,0.1,100.0,False,False,False
0,2025,5,5,21.0,88.35,3.11,190.0,1021.0,0.0,89.0,False,True,False
0,2025,5,7,20.0,88.27,3.11,130.0,1020.0,0.0,89.0,False,False,False
1,2025,4,8,20.0,82.87,5.11,30.0,1019.0,0.1,89.0,False,False,False
0,2025,4,9,17.0,77.31,10.31,20.0,1024.0,0.0,89.0,False,True,False
1,2025,4,2,24.0,64.93,6.19,150.0,1021.0,0.2,50.0,True,False,False
0,2025,4,29,24.0,64.93,5.11,180.0,1019.0,0.0,50.0,False,False,True
1,2025,5,19,22.0,83.11,3.61,200.0,1018.0,0.2,50.0,False,True,False
1,2025,5,20,19.0,88.19,4.11,180.0,1019.0,0.1,89.0,False,False,False
0,2025,4,3,20.0,68.38,3.11,180.0,1022.0,0.0,27.4,True,False,False
0,2025,5,20,24.0,60.93,3.11,180.0,1021.0,0.0,50.0,True,False,False
0,2025,4,2,19.0,93.93,0.0,0.0,1019.0,0.0,50.0,False,False,False
0,2025,5,19,19.0,88.19,2.11,150.0,1020.0,0.0,89.0,False,False,False
1,2025,5,11,22.0,73.29,9.31,360.0,1023.0,1.4,89.0,True,False,False
0,2025,4,15,26.0,44.56,6.19,30.0,1022.0,0.0,27.4,False,False,True
0,2025,4,20,26.0,57.63,6.19,130.0,1019.0,0.0,89.0,False,False,True
0,2025,4,5,20.0,88.27,5.11,180.0,1020.0,0.0,89.0,False,True,False
0,2025,4,5,26.0,50.73,6.19,180.0,1021.0,0.0,50.0,False,False,True
0,2025,4,5,19.0,82.75,2.11,160.0,1022.0,0.0,27.4,True,False,False
0,2025,5,8,22.0,78.06,4.11,10.0,1022.0,0.0,50.0,True,False,False
1,2025,4,2,25.0,61.16,7.19,180.0,1020.0,0.1,27.4,False,False,True
0,2025,4,17,23.0,60.7,8.19,30.0,1020.0,0.0,50.0,False,True,False
1,2025,5,1,26.0,50.73,6.19,200.0,1020.0,0.1,89.0,False,False,True
1,2025,3,30,25.0,57.39,4.11,180.0,1021.0,0.1,89.0,True,False,False
0,2025,4,17,17.0,88.01,7.19,10.0,1023.0,0.0,27.4,False,False,False
0,2025,5,7,20.0,82.87,4.11,310.0,1021.0,0.0,89.0,False,True,False
0,2025,4,1,23.0,68.97,1.5,104.7,1021.0,0.0,50.0,True,False,False
1,2025,4,21,24.0,69.16,4.11,180.0,1017.0,0.1,50.0,False,False,True
0,2025,4,24,24.0,53.58,1.5,36.4,1021.0,0.0,50.0,True,False,False
1,2025,5,19,21.0,88.35,5.11,210.0,1019.0,0.2,89.0,False,True,False
